Fingerprint,Contribution
APC2D3_N_Si,0
APC2D3_O_S,0
APC2D3_O_P,0
APC2D3_O_Br,0
APC2D3_O_I,0
APC2D3_O_B,0
APC2D3_O_Si,0
APC2D3_S_S,0
APC2D3_S_P,0
APC2D3_S_F,0
APC2D3_S_Cl,0
APC2D3_S_Br,0
APC2D3_S_I,0
APC2D3_S_B,0
APC2D3_S_Si,0
APC2D3_S_X,0
APC2D3_P_P,0
APC2D3_P_F,0
APC2D3_P_Cl,0
APC2D3_P_Br,0
APC2D3_P_I,0
APC2D3_P_B,0
APC2D3_P_Si,0
APC2D3_P_X,0
APC2D3_F_F,0
APC2D3_F_Cl,0
APC2D3_F_Br,0
APC2D3_F_I,0
APC2D3_F_B,0
APC2D3_F_Si,0
APC2D3_F_X,0
APC2D3_Cl_Br,0
APC2D3_Cl_I,0
APC2D3_Cl_B,0
APC2D3_Cl_Si,0
APC2D3_Br_Br,0
APC2D3_Br_I,0
APC2D3_Br_B,0
APC2D3_Br_Si,0
APC2D3_Br_X,0
APC2D3_I_I,0
APC2D3_I_B,0
APC2D3_I_Si,0
APC2D3_I_X,0
APC2D3_B_B,0
APC2D3_B_Si,0
APC2D3_B_X,0
APC2D3_Si_Si,0
APC2D3_Si_X,0
APC2D4_C_P,0
APC2D4_C_I,0
APC2D4_C_B,0
APC2D4_C_Si,0
APC2D4_N_P,0
APC2D4_N_F,0
APC2D4_N_Cl,0
APC2D4_N_Br,0
APC2D4_N_I,0
APC2D4_N_B,0
APC2D4_N_Si,0
APC2D4_N_X,0
APC2D4_O_P,0
APC2D4_O_I,0
APC2D4_O_B,0
APC2D4_O_Si,0
APC2D4_S_S,0
APC2D4_S_P,0
APC2D4_S_F,0
APC2D4_S_Cl,0
APC2D4_S_Br,0
APC2D4_S_I,0
APC2D4_S_B,0
APC2D4_S_Si,0
APC2D4_S_X,0
APC2D4_P_P,0
APC2D4_P_F,0
APC2D4_P_Cl,0
APC2D4_P_Br,0
APC2D4_P_I,0
APC2D4_P_B,0
APC2D4_P_Si,0
APC2D4_P_X,0
APC2D4_F_F,0
APC2D4_F_Cl,0
APC2D4_F_Br,0
APC2D4_F_I,0
APC2D4_F_B,0
APC2D4_F_Si,0
APC2D4_F_X,0
APC2D4_Cl_Br,0
APC2D4_Cl_I,0
APC2D4_Cl_B,0
APC2D4_Cl_Si,0
APC2D4_Br_Br,0
APC2D4_Br_I,0
APC2D4_Br_B,0
APC2D4_Br_Si,0
APC2D4_Br_X,0
APC2D4_I_I,0
APC2D4_I_B,0
APC2D4_I_Si,0
APC2D4_I_X,0
APC2D4_B_B,0
APC2D4_B_Si,0
APC2D4_B_X,0
APC2D4_Si_Si,0
APC2D4_Si_X,0
APC2D5_C_P,0
APC2D5_C_I,0
APC2D5_C_B,0
APC2D5_C_Si,0
APC2D5_N_P,0
APC2D5_N_F,0
APC2D5_N_I,0
APC2D5_N_B,0
APC2D5_N_Si,0
APC2D5_O_P,0
APC2D5_O_F,0
APC2D5_O_Br,0
APC2D5_O_I,0
APC2D5_O_B,0
APC2D5_O_Si,0
APC2D5_S_S,0
APC2D5_S_P,0
APC2D5_S_Cl,0
APC2D5_S_Br,0
APC2D5_S_I,0
APC2D5_S_B,0
APC2D5_S_Si,0
APC2D5_P_P,0
APC2D5_P_F,0
APC2D5_P_Cl,0
APC2D5_P_Br,0
APC2D5_P_I,0
APC2D5_P_B,0
APC2D5_P_Si,0
APC2D5_P_X,0
APC2D5_F_F,0
APC2D5_F_Cl,0
APC2D5_F_Br,0
APC2D5_F_I,0
APC2D5_F_B,0
APC2D5_F_Si,0
APC2D5_F_X,0
APC2D5_Cl_Cl,0
APC2D5_Cl_Br,0
APC2D5_Cl_I,0
APC2D5_Cl_B,0
APC2D5_Cl_Si,0
APC2D5_Cl_X,0
APC2D5_Br_Br,0
APC2D5_Br_I,0
APC2D5_Br_B,0
APC2D5_Br_Si,0
APC2D5_Br_X,0
APC2D5_I_I,0
APC2D5_I_B,0
APC2D5_I_Si,0
APC2D5_I_X,0
APC2D5_B_B,0
APC2D5_B_Si,0
APC2D5_B_X,0
APC2D5_Si_Si,0
APC2D5_Si_X,0
APC2D5_X_X,0
APC2D6_C_P,0
APC2D6_C_I,0
APC2D6_C_B,0
APC2D6_C_Si,0
APC2D6_N_S,0
APC2D6_N_P,0
APC2D6_N_Br,0
APC2D6_N_I,0
APC2D6_N_B,0
APC2D6_N_Si,0
APC2D6_O_P,0
APC2D6_O_F,0
APC2D6_O_Br,0
APC2D6_O_I,0
APC2D6_O_B,0
APC2D6_O_Si,0
APC2D6_S_S,0
APC2D6_S_P,0
APC2D6_S_F,0
APC2D6_S_Cl,0
APC2D6_S_Br,0
APC2D6_S_I,0
APC2D6_S_B,0
APC2D6_S_Si,0
APC2D6_S_X,0
APC2D6_P_P,0
APC2D6_P_F,0
APC2D6_P_Cl,0
APC2D6_P_Br,0
APC2D6_P_I,0
APC2D6_P_B,0
APC2D6_P_Si,0
APC2D6_P_X,0
APC2D6_F_F,0
APC2D6_F_Cl,0
APC2D6_F_Br,0
APC2D6_F_I,0
APC2D6_F_B,0
APC2D6_F_Si,0
APC2D6_F_X,0
APC2D6_Cl_Cl,0
APC2D6_Cl_Br,0
APC2D6_Cl_I,0
APC2D6_Cl_B,0
APC2D6_Cl_Si,0
APC2D6_Cl_X,0
APC2D6_Br_Br,0
APC2D6_Br_I,0
APC2D6_Br_B,0
APC2D6_Br_Si,0
APC2D6_Br_X,0
APC2D6_I_I,0
APC2D6_I_B,0
APC2D6_I_Si,0
APC2D6_I_X,0
APC2D6_B_B,0
APC2D6_B_Si,0
APC2D6_B_X,0
APC2D6_Si_Si,0
APC2D6_Si_X,0
APC2D6_X_X,0
APC2D7_C_P,0
APC2D7_C_I,0
APC2D7_C_B,0
APC2D7_C_Si,0
APC2D7_N_S,0
APC2D7_N_P,0
APC2D7_N_Cl,0
APC2D7_N_Br,0
APC2D7_N_I,0
APC2D7_N_B,0
APC2D7_N_Si,0
APC2D7_O_P,0
APC2D7_O_F,0
APC2D7_O_I,0
APC2D7_O_B,0
APC2D7_O_Si,0
APC2D7_S_S,0
APC2D7_S_P,0
APC2D7_S_F,0
APC2D7_S_Cl,0
APC2D7_S_Br,0
APC2D7_S_I,0
APC2D7_S_B,0
APC2D7_S_Si,0
APC2D7_S_X,0
APC2D7_P_P,0
APC2D7_P_F,0
APC2D7_P_Cl,0
APC2D7_P_Br,0
APC2D7_P_I,0
APC2D7_P_B,0
APC2D7_P_Si,0
APC2D7_P_X,0
APC2D7_F_F,0
APC2D7_F_Cl,0
APC2D7_F_Br,0
APC2D7_F_I,0
APC2D7_F_B,0
APC2D7_F_Si,0
APC2D7_F_X,0
APC2D7_Cl_Cl,0
APC2D7_Cl_Br,0
APC2D7_Cl_I,0
APC2D7_Cl_B,0
APC2D7_Cl_Si,0
APC2D7_Cl_X,0
APC2D7_Br_Br,0
APC2D7_Br_I,0
APC2D7_Br_B,0
APC2D7_Br_Si,0
APC2D7_Br_X,0
APC2D7_I_I,0
APC2D7_I_B,0
APC2D7_I_Si,0
APC2D7_I_X,0
APC2D7_B_B,0
APC2D7_B_Si,0
APC2D7_B_X,0
APC2D7_Si_Si,0
APC2D7_Si_X,0
APC2D7_X_X,0
APC2D8_C_P,0
APC2D8_C_I,0
APC2D8_C_B,0
APC2D8_C_Si,0
